,Brands,Models,Transmission,Colour,Mileage,Year,Prices
466,SEAT,Ibiza,0,Silver,75637,4,10950
312,Volkswagen,T-Roc,0,Indium Grey Metallic,10,-1,31100
196,Kia,Ceed,0,White,191888,6,8900
58,Ford,C-Max,0,Silver,69200,3,17950
580,Nissan,Pulsar,0,Grey,114206,5,10950
458,Skoda,Octavia,0,Grey,100000,2,16500
575,Mitsubishi,Lancer,0,Blue,159321,13,1995
329,Volkswagen,Passat,0,Pyrite Silver,13,0,34700
107,Ford,Focus,0,Blue,75539,3,15950
370,Volkswagen,Caddy,0,White,9,-1,16900
72,Ford,Focus,0,Grey,16,0,26950
45,Dacia,Sandero,0,Black,82406,3,11900
#450,Skoda,Octavia,0,Grey,$,0,27000
493,Renault,Megane,0,Cosmos Blue,25922,1,17900
251,Volvo,XC70,0,Green,262316,9,9950
552,Opel,Astra,0,Beige,181851,12,3300
490,Renault,Master Passenger,0,White,9000,1,33000
403,Toyota,Auris,1,Grey,69945,5,15990
512,SEAT,Cordoba,0,Silver,220474,16,999
181,Hyundai,Santa Fe,0,White,91571,3,27950
14,Audi,A6,1,Silver,93899,4,22950
562,Opel,Mokka,0,Blue,100583,5,13950
180,Hyundai,Kona,0,Red,53569,2,21500
241,Mazda,CX-5,1,Grey,20876,1,33950
531,Renault,Grand Scenic,0,Black,115040,4,15900
316,Volkswagen,T-Roc,0,Atlantic Blue,9,0,31100
62,Ford,EcoSport,0,Black,112228,6,11500
475,SEAT,Mii,0,Grey,67591,3,9950
242,Mazda,Mazda3,0,Brown,140143,4,11950
207,Kia,Sportage,0,Infra Red,5000,0,30950
337,Volkswagen,Golf,0,Silver,9,-1,27500
35,Citroen,C3 Aircross,0,Grey,999,1,17500
139,Ford,Mondeo,0,Grey,90000,4,17950
170,Honda,Jazz,0,Skyride Blue,6000,1,17950
519,Peugeot,308,0,Grey,291283,12,2995
367,Volkswagen,Caddy,0,Indium Grey Metallic,8,-1,21500
354,Volkswagen,ID.3,1,Maganese Grey,9,-1,40200
434,Skoda,Superb,0,Silver,32000,1,27950
374,Volkswagen,Transporter,0,Silver,10,-1,28100
158,Ford,Transit Tourneo,0,Blue,10,0,34950
424,Skoda,Octavia,0,Silver,110578,5,11500
295,Volkswagen,Polo,0,Grey,13,-1,19500
1,Audi,A1,0,Black,57881,5,13950
597,Mercedes-Benz,E-Class,1,Cavancite Blue,9600,1,48950
439,Skoda,Yeti,0,Beige,184000,7,8250
240,Lexus,IS300H,1,Black,164348,5,19990
42,Dacia,Duster,0,Silver,102221,4,9900
548,Nissan,Qashqai,0,White,236567,10,6950
182,Hyundai,Tucson,0,White,45500,0,30950
357,Toyota,YARIS,0,Burning Red Met,71012,5,11900
294,Volkswagen,Polo,0,Black,7,-1,20400
322,Volkswagen,Passat,0,Mangan Grey,11,-1,39400
