Brands,Models,Transmission,Colour,Mileage,Year,Prices,
29,33,1,64,57063,1,25999,0.574243335
25,19,0,12,80465,3,26950,0.366699538
18,15,0,38,7,-1,37780,0.414421116
31,184,0,123,138400,4,16995,0.052018175
32,205,1,51,107525,3,44995,0.440952298
21,86,0,51,23198,1,26500,0.058619669
20,144,1,51,65792,2,22995,0.157129894
31,29,0,101,99894,6,13500,0.907158193
31,135,0,51,90010,3,18950,0.535949454
15,43,1,68,124800,4,17945,0.155141434
24,119,0,51,81391,3,14950,0.266873573
32,202,1,123,$,0,49995,0.589980236
31,81,0,101,298742,13,2450,0.462889667
4,64,0,18,27760,1,18450,0.632508406
15,124,1,101,74600,2,36950,0.921846046
22,3,0,8,73608,3,15995,0.654459695
7,71,0,12,91730,3,14750,0.556322505
20,144,0,8,25000,1,23495,0.396071234
24,119,0,51,6522,0,22950,0.689816764
18,65,1,8,47600,2,35995,0.194694482
0,4,1,7,5,-1,57636,0.18798593
0,2,0,31,88512,3,21950,0.60454396
24,101,0,12,27344,1,23450,0.457972069
29,57,1,117,6300,0,24495,0.387797375
25,182,0,51,16528,1,31995,0.831913442
18,65,1,108,4218,0,56895,0.571425456
32,203,0,51,160700,4,18950,0.179859591
7,189,0,123,140344,3,13950,0.575856314
18,15,0,12,112007,6,16000,0.697346315
32,163,1,51,$,-1,52831,0.611194574
20,99,0,123,5,-1,21550,0.562701706
31,135,1,123,3000,0,44945,0.43057746
31,98,0,12,82141,3,16000,0.463834083
31,81,0,123,42315,1,25500,0.149554451
22,11,0,51,43226,2,27995,0.25709287
20,144,0,8,82074,3,18495,0.365592676
18,32,1,78,15,0,46900,0.603572694
31,81,0,51,127200,7,11950,0.268040416
31,135,1,101,2,-1,42500,0.357149709
24,101,0,8,39752,1,25450,0.888841836
24,170,0,51,8482,1,25950,0.227981859
9,216,0,109,94949,2,17950,0.785018184
20,144,0,123,85850,4,16995,0.351595048
29,210,1,75,41,0,21395,0.601417076
31,98,1,18,238963,5,10500,0.373394913
8,55,0,12,84327,2,17950,0.766732287
24,119,0,101,89000,3,15950,0.41401292
32,205,1,109,79887,2,52995,0.873580207
7,71,0,12,96558,4,13750,0.505105465
7,71,0,123,72419,2,17495,0.069070939
29,210,0,51,60228,2,13250,0.627793944
7,71,0,12,202772,11,3850,0.591838885
1,8,0,124,97800,4,22950,0.739993683
29,57,0,109,112554,5,10495,0.854347229
13,206,0,12,$,0,25995,0.573543223
31,135,0,51,76171,2,26500,0.188631435
0,2,1,5,174448,3,18950,0.717650588
25,112,0,98,68002,3,14500,0.171489495
32,192,0,8,39000,3,21995,0.644953976
8,97,1,12,132000,5,11450,0.665679131
8,97,1,123,155000,5,9950,0.982866094
